group_task,group_id,group_size,Omega_hat,task_id,revised_woc,initial_woc,influence,dataset,theta,revised_mse,initial_mse,revised_abs_error,initial_abs_error,revised_mse_zscore,initial_mse_zscore,revised_abs_error_zscore,initial_abs_error_zscore,improved
40_gurcay2015_gurcay2015_task_10_7.08,40_gurcay2015,92,0.4347999999999684,gurcay2015_task_10_7.08,13.121739130434783,12.712934782608695,0,gurcay2015,20.0,47.310472589792056,53.101319482514185,6.878260869565217,7.287065217391305,-1.1924729566512777,-0.7989308384504898,-1.1632250877644055,-0.7636693862729117,True
40_gurcay2015_gurcay2015_task_11_2.7,40_gurcay2015,92,0.3460999999999782,gurcay2015_task_11_2.7,5.6645760869565205,4.731,0,gurcay2015,5.0,0.44166137535444067,0.07236100000000006,0.6645760869565205,0.26900000000000013,-1.3617043397108037,-0.28573859232971865,-1.6032523765152127,-0.5577390824484318,False
40_gurcay2015_gurcay2015_task_12_49.5,40_gurcay2015,92,0.4141999999999707,gurcay2015_task_12_49.5,22.158804347826084,23.24967391304348,0,gurcay2015,35.0,164.89630577741028,138.07016314981092,12.841195652173916,11.75032608695652,-0.6407688863080264,-0.7567364921303927,-0.4689287565482342,-0.6799064856047291,False
40_gurcay2015_gurcay2015_task_13_24.9,40_gurcay2015,92,0.5626999999999543,gurcay2015_task_13_24.9,28.643913043478257,28.355489130434787,0,gurcay2015,9.0,385.8833196597352,374.6349594783792,19.643913043478257,19.355489130434787,-0.5074557819089689,-0.40269057644593714,-0.3895957073032877,-0.28962572930179326,False
40_gurcay2015_gurcay2015_task_14_25.0,40_gurcay2015,92,0.3624999999999764,gurcay2015_task_14_25.0,28.209565217391308,28.26010869565217,0,gurcay2015,30.0,3.205656710775034,3.027221750945189,1.790434782608692,1.7398913043478288,-0.9985345156544585,-0.6788138704506055,-1.3385456243042435,-0.8445697693468986,False
40_gurcay2015_gurcay2015_task_15_41.0,40_gurcay2015,92,0.320899999999981,gurcay2015_task_15_41.0,43.18641304347826,42.93880434782609,0,gurcay2015,41.0,4.780401996691872,3.7589622991493603,2.186413043478261,1.9388043478260926,-0.4815353813760706,-0.7132561796708086,-0.9139934774326963,-0.8023812454052095,False
40_gurcay2015_gurcay2015_task_16_63.0,40_gurcay2015,92,0.429799999999969,gurcay2015_task_16_63.0,47.61902173913043,48.2125,0,gurcay2015,60.0,153.28862269612483,138.94515625000003,12.380978260869568,11.787500000000001,-0.8105051432263689,-0.6322917075176376,-0.7951503154755415,-0.6279713875912375,False
1_gurcay2015_gurcay2015_task_1_3718691.0,1_gurcay2015,10,0.5951999999999508,gurcay2015_task_1_3718691.0,55840800.0,27833660.0,1,gurcay2015,1000000.0,3007513344640000.0,720045308995600.0,54840800.0,26833660.0,-0.2621776203069287,-0.3163027249091353,0.05112103169099897,-0.30374414084433826,False
1_gurcay2015_gurcay2015_task_2_39.52,1_gurcay2015,10,0.6349999999999464,gurcay2015_task_2_39.52,40.44444444444444,56.576,1,gurcay2015,15.0,647.4197530864196,1728.563776,25.444444444444443,41.576,-0.21840546124039964,-0.3477471349280126,-0.20412522815804943,-0.32411482793783597,True
1_gurcay2015_gurcay2015_task_3_2723.0,1_gurcay2015,10,0.6256999999999474,gurcay2015_task_3_2723.0,3098.0,5233.0,1,gurcay2015,1050.0,4194304.0,17497489.0,2048.0,4183.0,-0.22473133608668092,-0.2781824293071627,-0.24896691653282654,-0.30561120192216795,True
